created,text,retweetCount
2017-07-06 10:49:36,"RT @KapilSibalteam: BJP promised 2 crore jobs but now focus is firmly on destroying livelihoods, demonetisation and ill-planned GST.
@Kapil…",74
2017-07-06 10:49:32,"RT @RenukaJain6: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake  https://t…",92
2017-07-06 10:48:50,"RT @giniromet: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake. 
Waiting fo…",61
2017-07-06 10:48:45,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:48:43,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 10:48:39,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:48:32,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:48:23,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 10:48:06,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:48:02,Why Paul Krugman is an eternal pessimist on Narendra Modi's demonetisation - https://t.co/lG0S6Druxt via https://t.co/jlUdEPd6Ui,0
2017-07-06 10:47:43,RT @Shehzad_Ind: Hmmmmm ok https://t.co/FNJqdB8KOS,20
2017-07-06 10:47:30,Modi's note ban can't kill corruptiondamage Indian economy significantly: Paul Krugman - https://t.co/7i5uSDFwc5 via https://t.co/jlUdEPd6Ui,0
2017-07-06 10:47:23,RT @vox_dev: Abhijit Banerjee &amp; Namrata Kala look at the consequences of #demonetisation in #India https://t.co/SwyhsfT7ma,4
2017-07-06 10:47:17,RT @porinju: Here is what Shashi Kapoor had to say about Demonetisation &amp; GST. Courtesy @stocktalkstweet https://t.co/o97yW2cuSI,298
2017-07-06 10:46:50,RT @vox_dev: Abhijit Banerjee &amp; Namrata Kala look at the consequences of #demonetisation in #India https://t.co/SwyhsfT7ma,4
2017-07-06 10:46:41,RT @vox_dev: Abhijit Banerjee &amp; Namrata Kala look at the consequences of #demonetisation in #India https://t.co/SwyhsfT7ma,4
2017-07-06 10:46:18,With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy… https://t.co/fev7yIx1AM,4
2017-07-06 10:45:56,Centre under Opposition fire over latest GDP data | Business Line https://t.co/UTivToxFVE THE OPPOSITION  FOOLS HAVE NOTHING TO FIGHT,0
2017-07-06 10:45:24,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:44:39,RT @manojnarahari: GDP growth slows to 6.1% in Jan-March: Indian economy finally bares its demonetisation scars  https://t.co/NlRArvXEyr vi…,6
2017-07-06 10:44:27,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:43:59,RT @boomlive_in: What are the adverse effects of policies like Demonetisation on the poor? https://t.co/EjBk1F8SDi via @boomlive_in,3
2017-07-06 10:43:56,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
